,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
1393,1798,"For the Tibetan Mastiffs living on Snow Mountain, a dog's life has a simple riff: Guard a peaceful village of wool-making sheep from the thuggish wolf Linnux (Lewis Black) and his rabid pack. To avoid distractions, Mastiff leader Khampa (J.K. Simmons) forbids all music from the mountain. But when Khampa's son Bodi (Luke Wilson) discovers a radio dropped by a passing airplane, it takes just a few guitar licks for his fate to be sealed: Bodi wants to be a rock 'n' roll star. Yet that means defying his father's wishes, heading to the city, and locating the legendary - and reclusive - musician Angus Scattergood (Eddie Izzard), who needs to write a new song and fast. If Bodi can put a band together, help Angus with his song, and defeat the wolves' plot to take Snow Mountain, his life will be in tune. Bodi will become what he's always dreamed of being: More than a dog ... more than a Rock God... he'll be a ROCK DOG",PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,"Feb 24, 2017","May 23, 2017",$,9404922,80 minutes,Summit Premiere
1402,1808,"Freshly graduated from college with a promising future ahead, 22 year-old Christopher McCandless instead walked out of his privileged life and into the wild in search of adventure. What happened to him on the way transformed this young wanderer into an enduring symbol for countless people. Was Christopher McCandless a heroic adventurer or a na",R,Action and Adventure|Drama,Sean Penn,Sean Penn,"Oct 19, 2007","Mar 4, 2008",$,18173360,148 minutes,Paramount Vantage
1421,1832,"First there was an opportunity......then there was a betrayal. Twenty years have gone by. Much has changed but just as much remains the same. Mark Renton returns to the only place he can ever call home.They are waiting for him: Spud, Sick Boy, and Begbie. Other old friends are waiting too: sorrow, loss, joy, vengeance, hatred, friendship, love, longing, fear, regret, diamorphine, self-destruction and mortal danger, they are all lined up to welcome him, ready to join the dance.",R,Drama,Danny Boyle,John Hodge,"Mar 17, 2017","Jun 27, 2017",$,2395410,118 minutes,TriStar Pictures
1424,1837,"""Becoming Jane,"" is the story of the great, untold romance that inspired a young Jane Austen, played by Anne Hathaway. Willful and spirited, Jane is not ready to be tied down to anything but her writing. That is until she meets Tom Lefro, a charming rogue from London who spends more time drinking and socializing than on his law studies. The film also stars Julie Walters, James Cromwell and Maggie Smith. It is written by Sarah Williams and Kevin Hood, and directed by Julian Jarrold.",PG,Drama|Romance,Julian Jarrold,Sarah Williams|Kevin Hood,"Aug 3, 2007","Feb 12, 2008",$,18602895,120 minutes,Miramax Films
1429,1844,"Team America, an international police force dedicated to maintaining global stability, learns that a power hungry dictator is brokering weapons of mass destruction to terrorists. The heroes embark upon a harrowing mission to save the world. To infiltrate the terrorist network, Team America recruits Gary Johnston, a rising star on Broadway to go undercover. Although initially reluctant to sacrifice his promising career, Gary realizes that his acting gift is needed for a higher cause. With the help of Team America leader Spotswoode and fellow members Chris, Sarah, Lisa and Joe, Gary slips into an arms dealer's hideout where he discovers that the terrorists' plot has already begun to unfold. From the pyramids of Cairo to the Panama Canal and finally to the palace of power-mad dictator Kim Jong-Il, Team America criss-crosses the globe on a desperate mission to preserve the very fabric of civilization.",R,Comedy|Drama,Trey Parker,Trey Parker|Matt Stone|Pam Brady,"Oct 11, 2004","May 17, 2005",$,32700000,97 minutes,Paramount Pictures
1440,1857,"Honeymooning newlyweds Cliff (Steve Zahn) and Cydney (Milla Jovovich) are hiking an 11-mile trail in Hawaii when they cross paths will ex-military man Nick (Timothy Olyphant), who earns their trust by helping them navigate a particularly treacherous mountain cliff. A few yards later, the trio runs into a group of girls whose parents are begging them to return home following reports that a honeymooning couple has been murdered on one of the other islands.",R,Action and Adventure|Mystery and Suspense,David Twohy,David Twohy,"Aug 7, 2009","Dec 29, 2009",$,15536310,97 minutes,Universal Pictures
1448,1865,"When a weathered, God-fearing ex-blues musician finds the town nymphomaniac severely beaten and left for dead on the side of the road, he vows to cure her of her wicked ways in Hustle &amp; Flow director Craig Brewer's raw and unflinching follow-up. Lazarus (Samuel L. Jackson) is a hard-living ex-blues guitarist for whom the troubled days are beginning to outnumber the good. Rae (Christina Ricci) is a 22-year-old sex addict whose wild ways are finally about to catch up with her. When Lazarus discovers Rae covered in dust and clinging to life on the side of the road, he takes her in and nurses her back to health; but Lazarus isn't your typical caregiver, he's more concerned for Rae's immortal soul than he is for her physical well-being. Now, after chaining Rae down and employing the power of the Good Book to curb the salacious seductress' hedonistic ways, Lazarus will be forced to confront his own darkest demons in order to save the soul of a woman whose one-way ticket to hell has already been paid in full. Now, as Lazarus wages a righteous struggle to redeem the soul of the fallen Rae while simultaneously ensuring that his own life hasn't been lived in vain, the situation threatens to explode as Rae's possessive boyfriend, Ronnie (Justin Timberlake) -- a roughneck Guardsman currently preparing for a tour of duty in Iraq -- comes searching for his missing lover.",R,Drama,Craig Brewer,Craig Brewer,"Mar 2, 2007","Jun 26, 2007",$,9262318,115 minutes,Paramount Vantage
1458,1877,"A hard-drinking lush finds himself thrust into superhero mode in director Peter Berg's unconventional look at the private life of a crime-fighter. Will Smith stars as the embittered do-gooder whose lifestyle is more akin to a rock star than a role model, and who has grown as disillusioned with his once-admiring public as they have of him.",PG-13,Action and Adventure|Comedy|Drama,Peter Berg,Vincent Gilligan|Vince Gilligan|Vy Vincent Ngo,"Jun 16, 2008","Nov 25, 2008",$,227946274,92 minutes,Columbia Pictures
1464,1884,"What do you get when you mix fearless comedic genius with the latest box-office blockbusters? You guessed it. On April 14th, the Scary Movie gang is back with the most hilarious and irreverent installment yet",PG-13,Comedy,David Zucker,Craig Mazin|David Zucker,"Apr 14, 2006","Aug 15, 2006",$,90672025,83 minutes,Weinstein Co.
1469,1890,"A misplaced sausage and his savory friends embark on an existential adventure through the aisles of a massive supermarket in this raunchy animated comedy from Seth Rogen and Evan Goldberg. As the store's annual 4th of July sale draws near, the perishable pals must return to their rightful places on the shelves before the customers come flooding in to fill their carts. Conrad Vernon (Monsters vs. Aliens) takes the helm for this Sony Pictures/AnnaPurna Pictures co-production penned by Rogen, Goldberg, Kyle Hunter, and Ariel Shaffirwhich.",R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,"Aug 12, 2016","Nov 8, 2016",$,97661826,89 minutes,Sony Pictures
1492,1922,"Fate brings a childless couple a bundle of joy -- who happens to have a criminal record -- in this comedy directed by Keenen Ivory Wayans. Calvin Simms (Marlon Wayans) is a master criminal who with the help of his friend and sidekick, Percy (Tracy Morgan), plans a daring robbery of a museum where one of the world's largest diamonds is on display. One of reasons Calvin is able to get inside secure areas is his size -- Calvin is dwarf who stands less than two feet tall, and can slip in unnoticed where more conventionally sized people would not. While Calvin is able to get the diamond, he's nearly caught by the police while making his getaway, and stashes the jewel in a bag carried by a passerby. Eager to recover the diamond from the unwitting accomplice, Calvin and Percy figure out a way to get into his house -- they dress Calvin up as a baby, and leave him on the doorstep of the passerby's home. As it happens, the couple who live there (Shawn Wayans and Kerry Washington) have been wanting to have a baby, and they eagerly take the new arrival under their wing, embracing the joys of parenthood while ignoring some of the toddler's unusual behavior.",PG-13,Comedy,Keenen Ivory Wayans,Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans,"Jul 14, 2006","Nov 7, 2006",$,58255287,90 minutes,Sony Pictures Releasing
1502,1935,"Director Alex Proyas (Dark City, The Crow) helmed this sci-fi thriller inspired by the stories in Isaac Asimov's nine-story anthology of the same name. In the future presented in the film, humans have become exceedingly dependent on robots in their everyday lives. Robots have become more and more advanced, but each one is preprogrammed to always obey humans and to, under no circumstances, ever harm a human. So, when a scientist turns up dead and a humanoid robot is the main suspect, the world is left to wonder if they are as safe around their electronic servants as previously thought. Will Smith stars as Del Spooner, the robot-hating Chicago cop assigned to the murder investigation. Bridget Moynahan, Bruce Greenwood, James Cromwell, and Chi McBride also star.",PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Alex Proyas,Akiva Goldsman|Jeff Vintar,"Jul 16, 2004","Dec 14, 2004",$,144738046,115 minutes,20th Century Fox
